author,description,format,genre,month,pages,publisher,rating,title,year
Jeannine Hall Gailey,<i>Field Guide to the End of the World</i>,Paperback,Poetry,September,72,Moon City Press,4.25,Field Guide to the End of the World,2016
Larry Levis,<i>The empty bar that someone was supposed to swing to him</i>,Paperback,Poetry,January,96,Graywolf Press,4.23,The Darkening Trapeze: Last Poems,2016
Alwyn Hamilton,"Mortals rule the desert nation of Miraji, but mythical beasts still roam the wild and remote areas, and rumor has it that somewhere, djinn still perform their magic.  For humans, it’s an unforgiving place, especially if you’re poor, orphaned, or female.",Hardcover,Fantasy,March,316,Viking,3.98,Rebel of the Sands,2016
Martha Hall Kelly,"<b>Inspired by the life of a real World War II heroine, this debut novel reveals a story of love, redemption, and secrets that were hidden for decades.</b>",Hardcover,Historical,April,487,Ballantine Books,4.30,Lilac Girls,2016
Roshani Chokshi,<i>Fate and fortune. Power and passion. What does it take to be the queen of a kingdom when you’re only seventeen?</i>,Hardcover,Fantasy,April,342,St. Martin's Griffin,3.57,The Star-Touched Queen,2016
B.A. Paris,"Everyone knows a couple like Jack and Grace: he has looks and wealth, she has charm and elegance. You'd like to get to know Grace better. But it's difficult, because you realize Jack and Grace are never apart. Some might call this true love.",Hardcover,Thriller,August,293,St. Martin's Press                          (first published February 11th 2016,3.94,Behind Closed Doors,2016
Steven  Rowley,Combining the emotional depth of ,Hardcover,Fiction,June,307,Simon  Schuster,3.72,Lily and the Octopus,2016
Logan Chance,Like A Boss Duet Series ,Kindle Edition,Romance,July,141,Brothers Chance Books,3.89,Like a Boss,2016
Heidi Heilig,"Nix has spent her entire life aboard her father’s ship, sailing across the centuries, across the world, across myth and imagination.",Hardcover,Fantasy,February,464,Greenwillow Books,3.71,The Girl from Everywhere,2016
Jeff Zentner,"Dill has had to wrestle with vipers his whole life—at home, as the only son of a Pentecostal minister who urges him to handle poisonous rattlesnakes, and at school, where he faces down bullies who target him for his father’s extreme faith and very public fall from grace.",Hardcover,Young Adult,March,372,Crown Books for Young Readers,4.19,The Serpent King,2016
Brit Bennett,"Set within a contemporary black community in Southern California, Brit Bennett's mesmerizing first novel is an emotionally perceptive story about community, love, and ambition. It begins with a secret.",Hardcover,Fiction,October,288,Riverhead Books,3.84,The Mothers,2016
Amanda Bouchet,KINGDOMS WILL RISE AND FALL FOR HER...,Mass Market Paperback,Fantasy,August,441,Sourcebooks Casablanca,4.11,A Promise of Fire,2016
